latent_key,rollout_id,trial_id,chunk_id,group,dominant_failure_mode,centroid_mode,cos_success_centroid,cos_bowl_centroid,margin_success_minus_bowl,nearest_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_012,12,4,natural_failure,wrong_receptacle,chunk_aligned,0.8536210490666456,0.8598522972541827,-0.006231248187537064,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_013,13,0,natural_failure,wrong_receptacle,chunk_aligned,0.8486544787110823,0.8714186972302125,-0.02276421851913013,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_013,13,1,natural_failure,wrong_receptacle,chunk_aligned,0.8922715469057674,0.9060906446507404,-0.01381909774497303,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_013,13,2,natural_failure,wrong_receptacle,chunk_aligned,0.9231684658793969,0.9351676762812835,-0.011999210401886562,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_013,13,3,natural_failure,wrong_receptacle,chunk_aligned,0.8547662822477826,0.8897283566599581,-0.03496207441217547,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_013,13,4,natural_failure,wrong_receptacle,chunk_aligned,0.7900310494238505,0.8413611145148555,-0.05133006509100502,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_014,14,0,natural_failure,wrong_receptacle,chunk_aligned,0.859208300679997,0.8365816480696859,0.02262665261031105,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_014,14,1,natural_failure,wrong_receptacle,chunk_aligned,0.8981117554880129,0.9162420224162732,-0.018130266928260252,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_014,14,2,natural_failure,wrong_receptacle,chunk_aligned,0.9032807697686438,0.9103576429910193,-0.0070768732223754904,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_014,14,3,natural_failure,wrong_receptacle,chunk_aligned,0.8118001711409846,0.832860722796351,-0.021060551655366466,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_014,14,4,natural_failure,wrong_receptacle,chunk_aligned,0.8674726388289696,0.9056640851649354,-0.03819144633596572,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_015,15,0,natural_failure,wrong_receptacle,chunk_aligned,0.8455927167144792,0.8592595283924351,-0.013666811677955915,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_015,15,1,natural_failure,wrong_receptacle,chunk_aligned,0.904856665310386,0.9076762703796628,-0.0028196050692768093,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_015,15,2,natural_failure,wrong_receptacle,chunk_aligned,0.8913525446804116,0.8962191226166373,-0.004866577936225691,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_015,15,3,natural_failure,wrong_receptacle,chunk_aligned,0.8826247070389583,0.9158923879212626,-0.03326768088230425,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_015,15,4,natural_failure,wrong_receptacle,chunk_aligned,0.8718179023152255,0.8997359268365501,-0.027918024521324636,bowl_compositional_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_016,16,0,natural_success,success,chunk_aligned,0.8573404529678316,0.8288359452656618,0.028504507702169724,success_template
action_head_input,pi05_libero_ood_diff_start_end_loc_put_the_cream_cheese_on_the_plate_trial_016,16,1,natural_success,success,chunk_aligned,0.9018192844194046,0.9070186230536186,-0.005199338634213957,bowl_compositional_template
